affinity,type,d1,d2,d3,d4,ds1,ds2,a1,a2,a3,a4,as1,as2,outcome,rank
indoor,def,hoshino,tshiroko,haruka,iori,sayane,sshiroko,marina,tshiroko,shun,hoshino,hibiki,sshiroko,1,
indoor,def,hoshino,tshiroko,haruka,iori,sayane,sshiroko,iori,hoshino,tshiroko,haruka,nagisa,sshiroko,0,
indoor,def,hoshino,tshiroko,haruka,iori,sayane,sshiroko,iori,hoshino,tshiroko,haruka,saki,sshiroko,0,
indoor,atk,marina,tshiroko,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,shun,marina,sayane,sshiroko,1,26.0
indoor,atk,shun,hoshino,tshiroko,iori,nagisa,sshiroko,hoshino,tshiroko,marina,iori,hibiki,sshiroko,0,39.0
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,marina,reisa,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,marina,reisa,nagisa,sshiroko,1,
indoor,atk,reisa,tshiroko,shun,marina,sayane,sshiroko,iori,hoshino,tshiroko,marina,hibiki,sshiroko,1,39.0
indoor,atk,reisa,tshiroko,shun,hoshino,sayane,sshiroko,marina,tshiroko,hoshino,iori,sayane,sshiroko,1,24.0
indoor,atk,reisa,tshiroko,marina,hoshino,saki,sshiroko,marina,tshiroko,hoshino,iori,sayane,sshiroko,0,24.0
indoor,atk,reisa,tshiroko,marina,hoshino,saki,sshiroko,iori,marina,hoshino,tshiroko,sayane,sshiroko,0,24.0
indoor,atk,reisa,tshiroko,marina,hoshino,saki,sshiroko,iori,marina,hoshino,tshiroko,sayane,sshiroko,0,24.0
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,nyharuna,haruka,hoshino,shun,minori,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,hoshino,nyharuna,tshiroko,marina,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,reisa,haruka,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,nymutsuki,shun,hoshino,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,iori,hoshino,tshiroko,shun,hibiki,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,iori,shun,marina,tshiroko,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,iori,hoshino,tshiroko,haruka,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,iori,shanako,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,marina,iori,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,nyharuna,shun,hoshino,sayane,sshiroko,0,
indoor,atk,hoshino,iori,shun,tshiroko,hibiki,sshiroko,iori,marina,hoshino,tshiroko,saki,sshiroko,1,71.0
indoor,atk,tshiroko,iori,shun,hoshino,nagisa,sshiroko,tshiroko,hoshino,marina,iori,saki,sshiroko,0,71.0
indoor,atk,tshiroko,hoshino,marina,nymutsuki,sayane,sshiroko,tshiroko,hoshino,iori,marina,saki,sshiroko,0,71.0
