,pearson_corr,abs_corr
rank,-0.2529765583861309,0.2529765583861309
d3_accuracy,0.2387616253809543,0.2387616253809543
d3_ex_length,-0.22275201584624146,0.22275201584624146
d3_evasion,-0.22035276400492634,0.22035276400492634
ttk_a3_to_def,-0.21735886400192778,0.21735886400192778
ttk_d3_to_atk,-0.21564704684162495,0.21564704684162495
d3_max_hp,-0.2027774707719533,0.2027774707719533
a3_accuracy,0.19457863115152185,0.19457863115152185
a3_cc_res,0.1944325786886366,0.1944325786886366
d3_crit_res,-0.18863204889852062,0.18863204889852062
a3_healing,-0.1878870627308757,0.1878870627308757
d3_n_range,0.18737847952147282,0.18737847952147282
d3_na_cost,-0.18649420630094155,0.18649420630094155
d3_min_dmg,0.1827773261641646,0.1827773261641646
d3_atk,0.18147931359099273,0.18147931359099273
d3_stability,0.17727740511950058,0.17727740511950058
a3_atk,0.17548351769732265,0.17548351769732265
a3_max_hp,-0.17507096071087752,0.17507096071087752
d3_crit_dmg,0.17352139444084924,0.17352139444084924
d3_recov_boost,-0.161249277652544,0.161249277652544
d3_crit_dmg_res,-0.1597151386192013,0.1597151386192013
d3_crit,0.15970878057510193,0.15970878057510193
d3_affinity_indoor_dmg_mult,-0.15817475971158065,0.15817475971158065
d3_affinity_indoor_block_r,-0.15817475971158065,0.15817475971158065
a3_crit_dmg_res,-0.15292909071930286,0.15292909071930286
a3_crit_res,-0.15248803947620024,0.15248803947620024
a3_n_range,0.15076328573667216,0.15076328573667216
a3_crit_dmg,0.14738630087430293,0.14738630087430293
a2_ex_length,-0.1452394806438586,0.1452394806438586
d3_cc_res,0.1450805420574685,0.1450805420574685
ds1_cc_power,-0.140288312244512,0.140288312244512
d4_healing,0.13561645996677116,0.13561645996677116
a3_stability,0.13521268710469578,0.13521268710469578
a3_crit,0.13489274924754124,0.13489274924754124
a3_min_dmg,0.13267610175627323,0.13267610175627323
diff_atk_mean_PARTIAL,0.12946869984724346,0.12946869984724346
a4_crit_dmg,-0.12767438559258965,0.12767438559258965
a3_mag_count,-0.127287873718977,0.127287873718977
a3_evasion,-0.1251432114313314,0.1251432114313314
def_atk_mean_PARTIAL,-0.1248149707615403,0.1248149707615403
def_atk_sum_PARTIAL,-0.12481497076154015,0.12481497076154015
diff_atk_sum_PARTIAL,0.12377711731228971,0.12377711731228971
a3_dmg_reduction,-0.12308949819535385,0.12308949819535385
ttk_avg_atkS_to_def_str,-0.12291898905915828,0.12291898905915828
a3_def,-0.12181349673309796,0.12181349673309796
a3_na_cost,-0.1217986198290688,0.1217986198290688
ttk_avg_def_to_atk,-0.12127145423468462,0.12127145423468462
a3_ex_cost,-0.12091278951472792,0.12091278951472792
def_crit_mean_FULL,0.1182891252822282,0.1182891252822282
def_crit_sum_FULL,0.11828912528222782,0.11828912528222782
def_max_hp_mean_FULL,-0.11823783359836544,0.11823783359836544
def_max_hp_sum_FULL,-0.11823783359836539,0.11823783359836539
a3_recov_boost,-0.11636460028471453,0.11636460028471453
d4_evasion,0.11592747840950685,0.11592747840950685
d4_crit,-0.11580520478066983,0.11580520478066983
a4_crit_res,0.11579101656306931,0.11579101656306931
d2_crit,0.11356038842010656,0.11356038842010656
d2_mag_count,0.11196501485486228,0.11196501485486228
a2_affinity_indoor_block_r,-0.11188593894418332,0.11188593894418332
a2_affinity_indoor_dmg_mult,-0.11188593894418314,0.11188593894418314
ttk_avg_atk_to_def,-0.1108279406322624,0.1108279406322624
ttk_d4_to_atk,0.10898201417323752,0.10898201417323752
a3_affinity_indoor_block_r,0.10886760412541362,0.10886760412541362
a3_affinity_indoor_dmg_mult,0.10886760412541352,0.10886760412541352
d2_cc_res,0.10871127362684417,0.10871127362684417
def_accuracy_mean_FULL,0.10747194985417532,0.10747194985417532
def_accuracy_sum_FULL,0.1074719498541751,0.1074719498541751
d4_atk,-0.10641372603390335,0.10641372603390335
atk_evasion_sum,-0.10559738459366431,0.10559738459366431
atk_evasion_mean,-0.10559738459366229,0.10559738459366229
a4_n_range,-0.10546100080854293,0.10546100080854293
ttk_delta_specials,0.1037870292965418,0.1037870292965418
d1_atk,-0.10348606936688083,0.10348606936688083
d2_healing,-0.10320427110792836,0.10320427110792836
a4_crit_dmg_res,0.10313494292896308,0.10313494292896308
d2_ex_cost,-0.10269097003364422,0.10269097003364422
a2_cc_res,-0.10147723765937042,0.10147723765937042
d4_ex_length,0.10042985292274435,0.10042985292274435
d4_def_piercing,-0.09983214185549193,0.09983214185549193
d4_n_range,-0.09935125176561357,0.09935125176561357
def_max_hp_std_FULL,-0.09671416185501375,0.09671416185501375
a4_max_hp,0.09575510106507899,0.09575510106507899
def_role_dealer_prop_FULL,0.09548517832659725,0.09548517832659725
def_role_tank_prop_FULL,-0.09548517832659724,0.09548517832659724
ds1_atk,-0.09379767309364244,0.09379767309364244
def_atk_mean_FULL,0.09357932722702544,0.09357932722702544
def_atk_sum_FULL,0.09357932722702444,0.09357932722702444
atk_ex_cost_std,-0.09315719096515472,0.09315719096515472
d1_crit,-0.09245696049978822,0.09245696049978822
d4_crit_dmg_res,0.09242639981115496,0.09242639981115496
diff_crit_sum_FULL,-0.09182226028760201,0.09182226028760201
diff_crit_mean_FULL,-0.09182226028760193,0.09182226028760193
ttk_as1_to_def_str,-0.09140922281444838,0.09140922281444838
ttk_d1_to_atk,0.09132070419271969,0.09132070419271969
atk_accuracy_mean,0.09106892234036544,0.09106892234036544
atk_accuracy_sum,0.09106892234036518,0.09106892234036518
ttk_as2_to_def_str,-0.09031781493198039,0.09031781493198039
a2_alt_count,-0.09025648480226268,0.09025648480226268
atk_def_mean,-0.08946115295840557,0.08946115295840557
atk_def_sum,-0.08946115295840545,0.08946115295840545
d1_cc_res,-0.08788866947379133,0.08788866947379133
a1_n_range,-0.0874721699894752,0.0874721699894752
d2_def,-0.08629882506727282,0.08629882506727282
ttk_a2_to_def,-0.08615284910279054,0.08615284910279054
def_crit_std_PARTIAL,-0.08583029541270366,0.08583029541270366
d2_atk,0.0856008302991302,0.0856008302991302
a1_crit_res,0.08543098981766681,0.08543098981766681
def_position_front_prop_FULL,-0.08506084201168858,0.08506084201168858
d4_crit_res,0.08480286816164784,0.08480286816164784
d1_recov_boost,0.0845209284834717,0.0845209284834717
a1_atk,-0.08414327796642565,0.08414327796642565
a4_ex_length,0.08400876336766852,0.08400876336766852
diff_crit_std_PARTIAL,0.08399880944038185,0.08399880944038185
a1_ex_length,0.08302637990101773,0.08302637990101773
atk_max_hp_mean,-0.08285046415878386,0.08285046415878386
atk_max_hp_sum,-0.0828504641587834,0.0828504641587834
ttk_d2_to_atk,-0.08221355208820016,0.08221355208820016
a1_evasion,0.08205650532951338,0.08205650532951338
a1_crit_dmg,-0.0818675596775498,0.0818675596775498
a1_crit,-0.08178702627650371,0.08178702627650371
ds1_crit_dmg,0.08177517429431429,0.08177517429431429
a1_max_hp,0.08129320998127355,0.08129320998127355
d2_dmg_reduction,-0.08053372430916192,0.08053372430916192
atk_role_tank_prop_FULL,-0.08046475480284615,0.08046475480284615
atk_position_front_prop_FULL,-0.08046475480284615,0.08046475480284615
atk_position_back_prop_FULL,0.08046475480284596,0.08046475480284596
atk_role_dealer_prop_FULL,0.0804647548028459,0.0804647548028459
a2_crit_dmg,0.08033040311232698,0.08033040311232698
def_def_std_PARTIAL,0.07888113343153179,0.07888113343153179
atk_evasion_std,0.07831447530138277,0.07831447530138277
diff_max_hp_mean_FULL,0.07823511251308521,0.07823511251308521
diff_max_hp_sum_FULL,0.07823511251308517,0.07823511251308517
a1_accuracy,-0.07797566817786242,0.07797566817786242
diff_def_std_PARTIAL,-0.07772355298155136,0.07772355298155136
atk_max_hp_std,-0.07749312533574437,0.07749312533574437
a4_accuracy,-0.0772994959552006,0.0772994959552006
ds1_accuracy,0.07593376889259819,0.07593376889259819
a2_recov_boost,0.0758354638650946,0.0758354638650946
a2_crit_res,-0.07583546386509454,0.07583546386509454
d4_accuracy,-0.07560951144286258,0.07560951144286258
a4_alt_count,0.07504202172655884,0.07504202172655884
d1_evasion,0.07501848619651875,0.07501848619651875
def_def_sum_FULL,-0.074880555699209,0.074880555699209
def_def_mean_FULL,-0.07488055569920897,0.07488055569920897
diff_max_hp_std_FULL,0.07485761924987815,0.07485761924987815
a4_healing,0.07480648988734329,0.07480648988734329
diff_evasion_sum_PARTIAL,-0.07441591338702244,0.07441591338702244
diff_evasion_mean_PARTIAL,-0.0738096518461947,0.0738096518461947
def_evasion_sum_PARTIAL,0.07320077385218605,0.07320077385218605
def_evasion_mean_PARTIAL,0.07320077385218594,0.07320077385218594
d4_stability,-0.07269148610779269,0.07269148610779269
a2_n_range,0.07221622259397731,0.07221622259397731
def_position_back_prop_FULL,0.07212100631473406,0.07212100631473406
diff_ex_length_sum_FULL,0.07195934830504157,0.07195934830504157
diff_ex_length_mean_FULL,0.07195934830504147,0.07195934830504147
a1_crit_dmg_res,0.07190036166418935,0.07190036166418935
d1_min_dmg,-0.07128915820103145,0.07128915820103145
