model,metric,mean,std
rfc,best_cv_acc,0.5796026180458158,0.0104825040556595
xgb,best_cv_acc,0.5762038335670875,0.0159649509120454
svc,best_cv_acc,0.5657877512856475,0.007257181767854
logreg_l2,best_cv_acc,0.5622954651706404,0.0151330907107283
logreg_elastic,best_cv_acc,0.5605563347358579,0.0191750006562296
knn,best_cv_acc,0.5531930808789154,0.0129355551653887
svc,test_acc,0.5692307692307692,0.0554033088111074
rfc,test_acc,0.5576923076923077,0.0804480794744303
logreg_l2,test_acc,0.55,0.0752215662138766
logreg_elastic,test_acc,0.5461538461538462,0.0617184866764662
knn,test_acc,0.5076923076923077,0.0646451396691216
xgb,test_acc,0.4846153846153845,0.0533632189442754
svc,test_f1,0.5240745913086339,0.1236946958205349
rfc,test_f1,0.5016706761329186,0.143305128689754
logreg_l2,test_f1,0.4850114799242184,0.1458653192216482
logreg_elastic,test_f1,0.4799881269177271,0.1314203511189675
xgb,test_f1,0.4370235186808077,0.1644379853076062
knn,test_f1,0.3685381276946626,0.140526708873244
svc,test_precision,0.5506071467361789,0.0554653582736433
rfc,test_precision,0.5339285714285714,0.1010625942630787
logreg_l2,test_precision,0.5204860357034271,0.0965384633849651
logreg_elastic,test_precision,0.5202035002035001,0.0871965939589178
knn,test_precision,0.4764240145819093,0.0890261399649646
xgb,test_precision,0.446047619047619,0.08215072426095
svc,test_recall,0.5199999999999999,0.1766352173265569
rfc,test_recall,0.488,0.1905780679931455
logreg_l2,test_recall,0.4640000000000001,0.1779887636902959
xgb,test_recall,0.4640000000000001,0.2393324048264254
logreg_elastic,test_recall,0.4559999999999999,0.1614930339054908
knn,test_recall,0.32,0.1549193338482966
rfc,test_roc_auc,0.5819259259259258,0.0654845817935404
svc,test_roc_auc,0.5771851851851852,0.0758986400835317
logreg_elastic,test_roc_auc,0.5662222222222223,0.072461332576712
logreg_l2,test_roc_auc,0.5617777777777778,0.0852215703292465
knn,test_roc_auc,0.4847407407407408,0.0807094740683494
xgb,test_roc_auc,0.4697777777777777,0.0666962897148589
