feature,mean,std
d3_evasion,0.0038461538461538546,0.008600261451922287
a3_role,0.0038461538461538546,0.008600261451922287
atk_ex_cost_sum,0.0038461538461538477,0.00471055719765995
ttk_avg_atk_to_def,0.0038461538461538438,0.018644922528524337
as1_affinity_indoor_block_r,0.003076923076923084,0.00688020916153783
as1_evasion,0.003076923076923084,0.009182566451010255
as1_heals,0.003076923076923084,0.00688020916153783
as1_healing,0.003076923076923084,0.00688020916153783
as1_crit,0.0023076923076923127,0.005160156871153372
d3,0.0023076923076923127,0.005160156871153372
atk_ex_cost_mean,0.0023076923076923083,0.0021066252211737165
atk_accuracy_std,0.002307692307692304,0.003440104580768897
atk_evasion_mean,0.0015384615384615552,0.010029542161850242
d3_ex_length,0.0015384615384615463,0.0058329811108088925
ttk_d3_to_atk,0.001538461538461542,0.003440104580768915
diff_accuracy_mean_FULL,0.0015384615384615376,0.0021066252211737143
d3_weapon,0.000769230769230771,0.0017200522903844575
d3_min_dmg,0.000769230769230771,0.0017200522903844575
diff_ex_cost_std_FULL,0.0007692307692307709,0.005014771080925117
diff_ex_length_std_FULL,6.591949208711867e-18,0.008158924398306323
d3_accuracy,4.423544863740858e-18,0.002719641466102104
d2_def_type,2.220446049250313e-18,4.965068306494547e-18
diff_evasion_mean_FULL,2.168404344971009e-18,0.0027196414661021084
a1_cc_power,0.0,0.0
a1_cc_res,0.0,0.0
a1_crit_dmg,0.0,0.0
a1_crit_dmg_res,0.0,0.0
a1_crit_res,0.0,0.0
a1_deals_dmg,0.0,0.0
a1_def,0.0,0.0
a1_def_piercing,0.0,0.0
ds2_heals,0.0,0.0
ds2_heals_one_or_many,0.0,0.0
ds2_max_hp,0.0,0.0
a1_dmg_reduction,0.0,0.0
a2_crit,0.0,0.0
a2_crit_dmg,0.0,0.0
a2_deals_dmg,0.0,0.0
a2_def,0.0,0.0
a2_def_piercing,0.0,0.0
a2_dmg_reduction,0.0,0.0
a2_equip_slot1,0.0,0.0
a2_equip_slot3,0.0,0.0
a1_mov_spd,0.0,0.0
a1_n_range,0.0,0.0
a1_position,0.0,0.0
a1_recov_boost,0.0,0.0
a1_role,0.0,0.0
a1_taunts,0.0,0.0
a1_weapon,0.0,0.0
a2_atk_spd,0.0,0.0
ds1_heals_one_or_many,0.0,0.0
ds1_max_hp,0.0,0.0
ds1_min_dmg,0.0,0.0
ds1_recov_boost,0.0,0.0
ds1_stability,0.0,0.0
ds1_unit_type,0.0,0.0
ds2,0.0,0.0
ds2_accuracy,0.0,0.0
ds2_affinity_indoor_block_r,0.0,0.0
ds2_affinity_indoor_dmg_mult,0.0,0.0
ds2_alt_count,0.0,0.0
ds2_atk,0.0,0.0
a2_atk_type,0.0,0.0
a2_block_rate_bonus,0.0,0.0
a2_cc_power,0.0,0.0
a2_cc_res,0.0,0.0
ds1_atk_spd,0.0,0.0
ds1_atk_type,0.0,0.0
ds1_cc_power,0.0,0.0
ds1_cc_res,0.0,0.0
ds1_deals_dmg,0.0,0.0
ds1_def_type,0.0,0.0
ds1_equip_slot1,0.0,0.0
ds1_equip_slot2,0.0,0.0
ds1_equip_slot3,0.0,0.0
ds1_evasion,0.0,0.0
ds1_ex_cost,0.0,0.0
a2_generates_cost,0.0,0.0
a2_mov_spd,0.0,0.0
a2_recov_boost,0.0,0.0
ds1_generates_cost,0.0,0.0
ds1_healing,0.0,0.0
a3_crit_res,0.0,0.0
a3_deals_dmg,0.0,0.0
a3_def,0.0,0.0
a3_def_piercing,0.0,0.0
a3_equip_slot1,0.0,0.0
a3_equip_slot3,0.0,0.0
a3_ex_cost,0.0,0.0
a3_generates_cost,0.0,0.0
a2_role,0.0,0.0
a2_stability,0.0,0.0
a2_taunts,0.0,0.0
a3_alt_count,0.0,0.0
a3_atk_spd,0.0,0.0
a3_block_rate_bonus,0.0,0.0
a3_cc_power,0.0,0.0
ds1_atk,0.0,0.0
a3_heals,0.0,0.0
a3_heals_team_or_self,0.0,0.0
a3_mov_spd,0.0,0.0
a3_na_cost,0.0,0.0
a3_recov_boost,0.0,0.0
a3_taunts,0.0,0.0
diff_ex_cost_mean_FULL,0.0,0.0
diff_healing_std_FULL,0.0,0.00860026145192227
ds1_affinity_indoor_block_r,0.0,0.0
ds1_alt_count,0.0,0.0
a3_crit_dmg_res,0.0,0.0
a4_crit_res,0.0,0.0
a4_deals_dmg,0.0,0.0
d4_healing,0.0,0.0
d4_mag_count,0.0,0.0
d4_max_hp,0.0,0.0
d4_n_range,0.0,0.0
d4_na_cost,0.0,0.0
d4_position,0.0,0.0
d4_role,0.0,0.0
d4_taunts,0.0,0.0
def_accuracy_sum_FULL,0.0,0.0
def_ex_cost_mean_FULL,0.0,0.0
def_ex_cost_std_FULL,0.0,0.0
def_position_middle_prop_FULL,0.0,0.0
def_role_tank_prop_FULL,0.0,0.0
d4_cc_res,0.0,0.0
a4_def_piercing,0.0,0.0
a4_generates_cost,0.0,0.0
d4_crit,0.0,0.0
d4_crit_dmg,0.0,0.0
d4_crit_dmg_res,0.0,0.0
d4_crit_res,0.0,0.0
d4_deals_dmg,0.0,0.0
d4_def_piercing,0.0,0.0
d4_equip_slot1,0.0,0.0
d4_equip_slot3,0.0,0.0
d4_generates_cost,0.0,0.0
a4_atk_spd,0.0,0.0
a4_block_rate_bonus,0.0,0.0
a4_cc_power,0.0,0.0
a4_cc_res,0.0,0.0
a4_weapon,0.0,0.0
as1,0.0,0.0
as1_accuracy,0.0,0.0
as1_affinity_indoor_dmg_mult,0.0,0.0
as1_alt_count,0.0,0.0
as1_atk,0.0,0.0
d3_recov_boost,0.0,0.0
d3_taunts,0.0,0.0
