model,metric,mean,std
logreg_elastic,best_cv_acc,0.5947083926031296,0.025016440065935
xgb,best_cv_acc,0.5640398293029871,0.0158391820670392
rfc,best_cv_acc,0.5609388335704125,0.0216463136689636
knn,best_cv_acc,0.559601706970128,0.0133311039955959
logreg_l2,best_cv_acc,0.5555903271692746,0.0196601292606441
svc,best_cv_acc,0.5545092460881935,0.0255357856402659
logreg_elastic,test_acc,0.6818181818181819,0.1016394535227177
logreg_l2,test_acc,0.6454545454545455,0.1261312447773782
rfc,test_acc,0.6090909090909091,0.1046442221201939
xgb,test_acc,0.5909090909090908,0.1325216339737568
svc,test_acc,0.5818181818181818,0.1085212398755756
knn,test_acc,0.5818181818181818,0.1415673772945221
logreg_elastic,test_f1,0.6821199852778801,0.0791140277609772
logreg_l2,test_f1,0.5845079365079364,0.1925985463350918
rfc,test_f1,0.5779826804863821,0.0664530251450886
knn,test_f1,0.5579710144927537,0.1042572070285373
xgb,test_f1,0.5577015661683854,0.1127700024179882
svc,test_f1,0.476417004048583,0.2747718466050238
logreg_elastic,test_precision,0.7071717171717171,0.1327525997083045
logreg_l2,test_precision,0.7057142857142857,0.2127564478986453
rfc,test_precision,0.6720695970695971,0.1693156333051379
xgb,test_precision,0.6474242424242425,0.1877272115831338
knn,test_precision,0.6373015873015873,0.2066847089386272
svc,test_precision,0.5383333333333333,0.3603432006049542
logreg_elastic,test_recall,0.6727272727272726,0.0813115628181741
rfc,test_recall,0.5272727272727272,0.0760600024121886
logreg_l2,test_recall,0.5272727272727272,0.2073046227452978
knn,test_recall,0.509090909090909,0.0497929597731969
xgb,test_recall,0.509090909090909,0.1036523113726489
svc,test_recall,0.4727272727272728,0.3042400096487547
logreg_elastic,test_roc_auc,0.690909090909091,0.0831287473420363
logreg_l2,test_roc_auc,0.6677685950413224,0.1802050907586472
xgb,test_roc_auc,0.6644628099173554,0.1297678571219615
svc,test_roc_auc,0.6413223140495867,0.132695466687116
rfc,test_roc_auc,0.6380165289256199,0.1281524815766481
knn,test_roc_auc,0.6272727272727272,0.1588196678835214
